region,var_name,value
Australia above 500m,MAT,10.72083352
Australia above 500m,MTCO,3.230000043
Australia above 500m,MTWA,18.36666724
Australia above 500m,MAP,1020.960021
Australia above 500m,CMIA,96.18594264
New Zealand and Islands South,MAT,7.62583346
New Zealand and Islands South,MTCO,3.306666724
New Zealand and Islands South,MTWA,12.83333359
New Zealand and Islands South,MAP,1064.046684
New Zealand and Islands South,CMIA,96.54401122
Australia tropical,MAT,25.6933337
Australia tropical,MTCO,19.8633337
Australia tropical,MTWA,29.69333363
Australia tropical,MAP,1052.986684
Australia tropical,CMIA,93.7846633
New Guinea highland,MAT,21.15833369
New Guinea highland,MTCO,20.41333376
New Guinea highland,MTWA,21.58333384
New Guinea highland,MAP,3194.343383
New Guinea highland,CMIA,98.55160634
Australia Tasmania,MAT,12.24750023
Australia Tasmania,MTCO,9.183333603
Australia Tasmania,MTWA,15.89666697
Australia Tasmania,MAP,1166.16002
Australia Tasmania,CMIA,96.96798232
Australia east coast,MAT,16.29083359
Australia east coast,MTCO,8.156666867
Australia east coast,MTWA,24.26666705
Australia east coast,MAP,670.3066777
Australia east coast,CMIA,91.90775683
Australia south coast,MAT,15.6536114
Australia south coast,MTCO,10.62333358
Australia south coast,MTWA,20.92333361
Australia south coast,MAP,537.9666767
Australia south coast,CMIA,90.23904852
New Guinea lowland,MAT,23.77861148
New Guinea lowland,MTCO,23.12666683
New Guinea lowland,MTWA,24.39666697
New Guinea lowland,MAP,3349.810048
New Guinea lowland,CMIA,98.8415325
Australia arid,MAT,23.14222257
Australia arid,MTCO,13.93333349
Australia arid,MTWA,30.82000046
Australia arid,MAP,234.2733373
Australia arid,CMIA,69.68010548
West Pacific,MAT,23.58611154
West Pacific,MTCO,21.54333388
West Pacific,MTWA,25.45000044
West Pacific,MAP,2977.250055
Maritime SE Asia,MAT,25.43527813
Maritime SE Asia,MTCO,24.99666716
Maritime SE Asia,MTWA,25.82333368
Maritime SE Asia,MAP,2215.436703
Maritime SE Asia,CMIA,98.10812317
New Caledonia,MAT,22.6250004
New Caledonia,MTCO,19.51666705
New Caledonia,MTWA,25.63000056
New Caledonia,MAP,1255.386686
New Caledonia,CMIA,97.05856884
New Zealand North,MAT,15.06388915
New Zealand North,MTCO,10.82000014
New Zealand North,MTWA,19.51666705
New Zealand North,MAP,1182.22002
Australia SW,MAT,15.01555587
Australia SW,MTCO,10.23000021
Australia SW,MTWA,20.23333378
Australia SW,MAP,667.3766775
Australia SW,CMIA,92.32306494
Australia above 500m,MAT,9.51388903
Australia above 500m,MTCO,2.360000034
Australia above 500m,MTWA,16.65000019
Australia above 500m,MAP,1067.446686
Australia above 500m,CMIA,96.31800496
New Zealand and Islands South,MAT,6.759166791
New Zealand and Islands South,MTCO,1.450000038
New Zealand and Islands South,MTWA,11.92333358
New Zealand and Islands South,MAP,2623.363379
New Zealand and Islands South,CMIA,98.56229287
Australia tropical,MAT,26.68388926
Australia tropical,MTCO,21.25666695
Australia tropical,MTWA,30.38666712
Australia tropical,MAP,1148.886682
Australia tropical,CMIA,94.3423488
New Guinea highland,MAT,20.08333369
New Guinea highland,MTCO,19.32333374
New Guinea highland,MTWA,20.45333379
New Guinea highland,MAP,3100.933373
New Guinea highland,CMIA,98.35275399
Australia Tasmania,MAT,12.94055578
Australia Tasmania,MTCO,9.866666857
Australia Tasmania,MTWA,16.62333358
Australia Tasmania,MAP,1007.36002
Australia Tasmania,CMIA,97.14125919
Australia east coast,MAT,13.96194467
Australia east coast,MTCO,7.016666778
Australia east coast,MTWA,20.63333371
Australia east coast,MAP,900.5033489
Australia east coast,CMIA,93.74976094
Australia south coast,MAT,17.38527809
Australia south coast,MTCO,8.930000226
Australia south coast,MTWA,25.6966671
Australia south coast,MAP,289.0533381
Australia south coast,CMIA,79.14687025
New Guinea lowland,MAT,26.91055593
New Guinea lowland,MTCO,26.20666695
New Guinea lowland,MTWA,27.48000024
New Guinea lowland,MAP,3347.05672
New Guinea lowland,CMIA,98.87154585
Australia arid,MAT,17.72277804
Australia arid,MTCO,11.87666686
Australia arid,MTWA,22.96000035
Australia arid,MAP,261.6266711
Australia arid,CMIA,77.64626443
West Pacific,MAT,24.36722262
West Pacific,MTCO,22.3200002
West Pacific,MTWA,26.34000041
West Pacific,MAP,2831.810043
Maritime SE Asia,MAT,26.31916704
Maritime SE Asia,MTCO,25.43000037
Maritime SE Asia,MTWA,27.11000042
Maritime SE Asia,MAP,2940.646712
Maritime SE Asia,CMIA,98.58651697
New Caledonia,MAT,21.70666704
New Caledonia,MTCO,18.54000028
New Caledonia,MTWA,24.78000018
New Caledonia,MAP,1177.070018
New Caledonia,CMIA,97.33490308
New Zealand North,MAT,13.69305583
New Zealand North,MTCO,8.913333559
New Zealand North,MTWA,18.6466671
New Zealand North,MAP,1341.906686
Australia SW,MAT,15.62222248
Australia SW,MTCO,10.71000016
Australia SW,MTWA,20.58333365
Australia SW,MAP,510.2266756
Australia SW,CMIA,91.57237305
Australia above 500m,MAT,9.51388903
Australia above 500m,MTCO,2.360000034
Australia above 500m,MTWA,16.65000019
Australia above 500m,MAP,1067.446686
Australia above 500m,CMIA,96.31800496
New Zealand and Islands South,MAT,6.12305568
New Zealand and Islands South,MTCO,-0.443333345
